recipe_id,food_id,요리,레시피 고유 번호,레시피 제목,요리명,요리 소개,스크랩수,재료,요리인분,요리 난이도,요리 시간,img
319,74,비빔냉면,3742894,전복비빔냉면 만들기,전복비빔냉면,맛깔난 비빔냉면 양념장을 넣고 만든 전복비빔냉면입니다. 비빔냉면은 양념장만 잘 만들어주면 어렵지 않으니 집에서 맛있게 만들어 보세요.,422,[재료] 꼬마전복 5개| 냉면사리 1개| 오이 약간| 토마토 약간 [양념] 다진마늘 2숟갈| 설탕 2숟갈| 고춧가루 6숟갈| 매실액 2숟갈| 식초 4숟갈| 올리고당 3숟갈| 간장 2 + 1/2숟갈| 참기름 1 + 1/2숟갈| 깨소금 1숟갈| 고추장 3숟갈| 양파 1/3개| 파인애플링 3/4조각| 파인애플국물 5숟갈,1인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/319/319_recipe_img.jpg
320,74,비빔냉면,2426228,비빔냉면,비빔냉면,매콤달콤하면서 쫄깃한 맛의 비빔냉면은 여름철에 자주 먹게 되는 음식입니다. 하지만 냉면은 겨울에 즐겨야 제 맛이라고 하는데요. 냉면은 왜 추운 겨울에 즐기는 음식일까요? 먼저 비빔냉면을 만들어보아요.,403,[재료] 냉면사리 4개| 무 1/3개| 오이 1개| 삶은 달걀 2개| 양념장 8큰술| 참기름 조금| 통깨 조금 [양념장] 배 1/2개| 양파 1/2개| 다진 마늘 1큰술| 다진 생강 1작은술| 진간장 2/3컵| 국간장 2큰술| 설탕 4큰술| 포도당 1큰술| 구연산 1/2큰술| 물엿 1/2컵| 맛소금 1작은술| 참깨 조금| 고운 고춧가루 1컵 [단촛물] 식초 3큰술| 설탕 3큰술| 소금 1큰술,4인분,중급,2시간이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/320/320_recipe_img.jpg
321,74,비빔냉면,6868721,[냉털밥상] 매콤새콤 초간단 비빔냉면 만들기,비빔냉면,따뜻해진 날씨에 생각나는 비빔냉면  집에 있는 재료로 초간단하게 만들 수 있어요  냉면에 어울리는 야채라면 무엇이든 okay! ,293,[재료] 냉면 사리 1인분| 파프리카 (색깔별로) 1/4개씩| 삶은 계란 1개| 오이 조금 [양념장] 고추장 2T| 고춧가루 1T| 식초 2T| 맛술 1T| 설탕 1.5T| 다진마늘 1T| 참깨 조금| 참기름 1바퀴,1인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/321/321_recipe_img.jpg
322,74,비빔냉면,6913910,매콤하고 깊은 맛 비빔 냉면. 비빔 냉면 양념장 만드는법.,비빔냉면,예전에 아이 임신했을때 너무 먹고 싶었던 매콤한 비빔 냉면이 생각나서 만들었어요. ,257,[재료] 냉면 2인분| 달걀(찐것) 1개| 오이 1/2| 양파 1/4| 사과 1/2| 깻잎 10장 [냉면 양념] 고추장 3T| 고추가루 1.5T| 설탕 2T| 다진마늘 1.5T| 간장 1.5T| 식초 2T| 액젓 2T| 참기름 1T,2인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/322/322_recipe_img.jpg
323,75,삼선우동,6868640,해물우동볶음 황금레시피    간장소스만든 한 그릇 요리~,해물우동볶음,냉동실 청소했는데 해물이 조금 남았더라구요 뭘 하나 일단 해동해 놓았는데 조금 남은 재료로 볶음우동이~ 초간단 이지만 맛은 꿀맛이네요,173,[재료] 오징어| 새우살 200그램| 당근| 피망 약간| 숙주 1줌| 우동면 1개| 밥 2/3공기| 고추기름 1큰술| 참기름 1큰술| 소금 약간 [볶음양념] 굴소스 1큰술| 간장 1큰술| 올리고당 1큰술,2인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/323/323_recipe_img.jpg
324,75,삼선우동,1629626,얼큰한 해물 매운맛 우동 맛있게 끓이는법,해물우동,얼큰한 해물 매운맛 우동입니다.,108,[재료] 바지락 250g| 오징어 1~1.5마리| 새우(중하) 160g| 우동면 150g| 당근 30g| 양파 1/2~1개| 청양고추 2개| 대파 1대| 무우 30g| 표고버섯 1~2개| 다시마 5cm* 13cm| 고춧가루 4~5큰술 [바지락 육수] 물 4컵| 청주 1큰술| 바지락 250g | 다진마늘 1큰술| 다진파 1큰술| 후추 약간 | 청주 1큰술,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/324/324_recipe_img.jpg
325,75,삼선우동,1668552,해물우동,해물우동,시원하고 따끈한 국물이 일품인 해물우동입니다.,46,[재료] 생우동 300g| 쑥갓 4줄기| 대파 1줄기| 찐 어묵 1/2개| 오징어 몸통 1/2쪽| 홍합 10개| 바지락 15개| 주꾸미 2마리| 낙지 1마리| 새우 9마리 [우동 국물 양념] 물 1리터| 다시마 작은것 2장| 가스오부시 1컵| 간장 3큰술| 청주 1큰술| 혼다시 1/2큰술,3인분,초급,90분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/325/325_recipe_img.jpg
326,75,삼선우동,6897467,국물맛이 끝내주는 뜨끈한 돌솥해물우동,해물우동,은아들만 공강으로 집에 있어 점심으로 우동을 먹자고 하니 그러겠다고 하더라고요  해물우동이다 새우만 넣어 달래요 그래서 아들은 유부어묵에 새우만  넣고 전 집에있는 해물 골고루ㅋ  우동이라도 든든하고 영양가 있게 먹고 싶더라고요ㅋ 아마도 속이 허했나봐요 ㅋㅋ 뭘했다고 ㅋㅋ 낙지에 전복까지 먹으니 기분은 금방 힘이 솟는 느낌적인 느낌 ㅋ  뜨끈뜨끈한 국물과 든든한 한그릇이 생각날땐 해물우동 강추에요^^  오늘도 편안한 하루되세요~♡ ,28,[재료] 시누끼 우동면 1개| 낙지 1마리| 전복 1마리| 새우 2마리| 물 4컵| 다시마 1쪽| 삶은계란 1개 [양념] 처음부터육수(취향껏) 1T| 건더기스프| 간장(기호에 맞게 가감) 1T| 파 약간,1인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/326/326_recipe_img.jpg
327,75,삼선우동,6897259,해물우동볶음,해물우동볶음,보통 해물우동볶음엔 새우와 오징어를 넣어 만들곤 했는데요~ 이번엔 사둔 절단 꽃게가 있어서 넣어봤어요. 베이컨과 새우  꽃게까지... 맛있는거 다 들어가서 맛이 없을 수 없는 볶음우동입니다. 어렵지 않으니 따라해 보세요.,25,[해물우동볶음] 우동면 3팩| 냉동 새우 1컵| 절단 꽃게 6개| 베이컨 125g(1팩)| 양파 1/4개| 당근 1/3개| 파프리카(소) 2개| 대파 흰 대 1개| 다진마늘 1큰술| 포도씨유 적당히| 화이트와인(또는 청주) 2큰술 [양념장] 어간장 2큰술| 굴소스 0.5큰술 [토핑] 가다랑어포 5g| 송송썬 쪽파 1큰술| 통깨 약간,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/327/327_recipe_img.jpg
328,76,삼선자장면,5882373,해물 짜장면 만들기,해물짜장면,오늘은 고기대신 해물을 듬뿍 집어넣고 해물짜장을 만들었는데  짜장은 뭘넣고 만들어도 맛있네요.,251,[재료] 춘장 1봉| 양파小 6개| 양배추 300g| 해물믹스 300g| 우동면 [양념] 다진마늘 1숟갈| 포도씨오일 10숟갈| 물 3컵 [전분물] 전분가루 3숟갈| 물 6숟갈,6인분이상,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/328/328_recipe_img.jpg
329,76,삼선자장면,6855110,백종원님의 만능춘장으로 만든 해물짜장면~~,해물짜장면,집밥백종원님의 다양함~~ 정말 좋아요. 만능간장과 만능춘장!!! 정말 다양해요..,197,[재료] 춘장 1봉지| 잘게 썰은 대파 2컵| 양파 3컵| 식용유 1컵| 돼지고기 400그램(2컵)| 진간장 1/3컵| 굴소스 2/3컵| 설탕 1/3컵| 식용유 1컵,3인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/329/329_recipe_img.jpg
330,76,삼선자장면,6831959,해물짜장면(쟁반짜장) 만드는법-해물이 듬뿍들어갔어요~,해물짜장면,해물가득들어간 해물짜장면이에요. 볶으면 쟁반짜장면이 된답니다.,108,[재료] 생면 3개| 양파 2개| 돼지고기 2줌| 호박 1/2개| 오징어 1마리| 칵테일새우 2줌| 주꾸미 4마리| 오이 약간 [양념] 춘장 3Ts| 식용유 넉넉히| 청주나 소주 3Ts| 굴소스 3Ts| 간장 3Ts| 설탕 1.5Ts| 다진파 3Ts| 다진생강 약간| 녹말물 6Ts| 물 2컵| 다진마늘 약간,4인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/330/330_recipe_img.jpg
331,76,삼선자장면,6893255,해물짜장면/간짜장/볶음짜장 그리고 딸기슬러쉬,해물짜장면,짜장면이 건강식이 되지 못한 이유는 기름 때문. 좋은 기름 깨끗한 기름을 적당량 사용하여 만든다면 영양가 높은 다양한 재료를 섭취할 수 있는 짜장면은 건강식이 되고도 남음이 있지요. 엄마가 만들면 짜장면도 건강식이 될 수 있답니다.,39,[재료] 생면| 스파게티면| 감자 1개| 양파 1개| 오징어| 새우 적당량| 양배추| 식용유| 녹말물 [된장짜장소스] 춘장 100그램| 식용유 3큰술| 된장 2큰술| 청주 1큰술| 물 1큰술| 설탕 2큰술,2인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/331/331_recipe_img.jpg
332,76,삼선자장면,6880151,봉지라면의 변신은 무죄! '해물짜장면' 만들기*,해물짜장면,그냥 먹기는 지루하고  뭔가 특별하게 봉지라면을 끓여보고 싶으신 분들을 위한 레시피입니다. 시중에 파는 짜장라면에 해산물을 넣고 만드는 해물짜장면! 봉지라면으로 기분나는 요리 만들어보세요 ^^,27,[재료] 짜장라면 2봉지| 양파 1/2개(중)| 주키니호박 1/7(자투리)| 해물 1컵(종이컵기준)| 쪽파 1개 [간] 고춧가루 1t| 간장 1t| 후추 2꼬집,2인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/332/332_recipe_img.jpg
333,77,삼선짬뽕,6888099,얼큰한 국물요리  해물짬뽕탕,해물짬뽕탕,비가내리거나 눈이오는 날은  특별히 더욱 생각나는  몇 가지 음식이 있는 것 같아요. 비가내릴 때는 부침개 생각이  또 눈이 새하얗게 쌓여가는 날에는  따뜻한 국물요리가 생각나더라구요. 오늘은 국물요리 하면  많이들 생각하고 떠올리시는  얼큰한 해물짬뽕탕을 만들어볼게요. 전문점 맛에 견주어도 손색없는  깊은맛을 살려 완성 해 보겠습니다. 여기에 취향에 따라 면을 추가하시면  더욱 든든하게 즐기실 수 있겠죠?,2000,[재료] 양파 1/2개| 청경채 100g| 손질오징어 100g| 새우 100g| 바지락살 50g| 물 600mL| 식용유 2T [짬뽕양념장 만들기] 고춧가루 3T| 간장 1T| 굴소스 1T| 다진마늘 1T| 맛술 1T| 후추 1/3t| 물 4T,1인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/333/333_recipe_img.jpg
334,77,삼선짬뽕,6865493,매콤 해물 짬뽕 집에서 만들어도 맛있어요~,해물짬뽕,집에 있는 재료들로 해물 짬뽕을 만들었는데요 집에서도 충분히 맛있게 만들 수 있어요 면이랑 밥이랑 잘 어울리는 짬뽕 맛있게 만들어 보세요,1793,[짬뽕 탕 재료] 삼겹살 (선택) 1줄| 바지락 조개 15개| 오징어 1마리| 새우 10마리| 해물모둠 믹스 1컵| 봄동 7~8장| 당근 (선택) 약간| 양파 1/2개| 대파 1대| 청양고추 2개| 홍고추 1개| 표고버섯 3개| 목이 (선택) 3개| 청경채 (선택) 2개| 다진마늘 1T| 뜨거운물 1컵| 냉수 6컵| 식용유 약간| 청주 1스푼| 중화 면 이나 칼국수 면 적당량 [양념] 간장 1스푼| 고춧가루 (안매운) 2스푼| 고춧가루 (매운) 1스푼| 굴소스 1스푼| 치킨스톡 1스푼| 소금 1스푼,4인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/334/334_recipe_img.jpg
335,77,삼선짬뽕,6843887,면요리 요즘 대세는 짬뽕 해산물듬뿍 해물짬뽕,해물짬뽕,최근들어 짬뽕이 대세중에 대세인것 같아요. 자장만 좋아하는 일인이라 짬뽕은 그저 국물 한스푼 정도 얻어 먹는 메뉴라고 생각했었는데 지금은 저도 짬뽕의 열풍에 가세해서 즐기고 있는데  특히 해산물 듬뿍 들어간다면 더 애정하고 있어요. ,338,[재료] 홍합 1팩| 돼지고기 300g| 오징어 1마리| 새우 6마리| 양배추| 양파 1/2개| 호박| 당근| 땡초| 대파 1뿌리| 마늘 2스푼| 고춧가루 3스푼| 고운고춧가루 2스푼?,3인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/335/335_recipe_img.jpg
336,77,삼선짬뽕,955127,엄마표 해물짬뽕,해물짬뽕,짬봉을 좋아하는데 중국집에 시켜 먹기는 웬지 안심이 되질 않지요. 시원한 홍합국물로 만드는 엄마표 해물짬뽕을 강추합니다.,282,[재료] 생면 4인분| 홍합 400g| 물 5컵| 갑오징어 1마리| 깐새우 100g| 양파 1개| 속배추 4잎| 애호박 1/2개| 대파 1대| 마늘 3쪽| 부추 50g [양념] 고추기름 2큰술| 고춧가루 3~4큰술| 국간장 약간| 소금 약간,4인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/336/336_recipe_img.jpg
337,77,삼선짬뽕,6852919,해물짬뽕,해물짬뽕,따근하고 얼큰한 국물이 생각나는날 냉장고속 재료 전복 낙지 새우넣고 매콤 칼칼하게 초복날 복달음으로~,281,[재료] 새우10마리| 양파 1개| 전복10마리| 모시조개1봉지| 낙지10마리| 청경채 10개| 느타리버섯| 표고버섯| 목이버섯| 말린송이버섯| 대파| 베트남고추| 마늘| 홍고추| 호박| 당근| 죽순 [양념] 집간장| 고추가루| 고추기름| 식용유| 소금| 무우| 표고버섯| 멸치| 육수물,4인분,고급,90분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/337/337_recipe_img.jpg
338,78,수제비,6843768,[감자수제비] 눈이 오는 날엔 포근포근 감자 수제비 만들기 -양싸,감자수제비,오늘 눈이 펑펑 내렸지요. 이런날엔 감자 수제비나 만들어 볼까요? 포슬 포슬한 감자와 쫄깃한 수제비! 넘나 맛있는것!!!!!,13609,[재료] 감자 2개| 밀가루(중력분) 5큰술| 소금 1꼬집| 애호박 1/3개| 대파 1대| 청양고추 3개| 멸치 10마리| 다시마 2개| 계란 1개 [양념] 다진마늘 2ts| 국간장 1T| 소금 1T,2인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/338/338_recipe_img.jpg
339,78,수제비,4300053,수제비,수제비,가끔 밥이 그닥 반갑지 않을 때 담백하게 끓여낸 수제비는 별미이기도 하더라구요~ 수제비 같이 맛있게 끓여보아요!,11631,[수제비 반죽] 밀가루 3컵| 물 200ml| 양파(소) 1/2개| 당근 1/2개| 호박 1/2개| 다진마늘 1/3스푼 [멸치육수] 물 2300ml| 다시멸치 10마리| 국간장 3스푼| 소금 1/3스푼,3인분,초급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/339/339_recipe_img.jpg
340,78,수제비,6869746,비오는 날 딱! 얼큰한 김치수제비 만드는 법 ♪ ,김치수제비,https://www.youtube.com/channel/UCRS3R1a_GKvORZI_0lnnQRw 제 유튜브 채널도 함께 봐주시면 좋을거 같아요 +_+  어제 날씨가 비가오면서 바람이 엄청나게 불더라구요 태풍이 올 때가 아닌데도 비가 오니 뜨끈한 국물이 생각나면서 얼큰한 김치수제비 만들어보았어요~ㅎㅎ 그동안 제가 해준 음식중에 이게 으뜸이라네요! 신랑에게 칭찬받는 레시피! 한번 도전해보세요 ♡,10564,[재료] 김치 국그릇 1개| 김치국물 1국자| 참기름 1스푼| 멸치다시마육수 1200ml| 대파 1/2개| 청양고추 1개~ 2개| 감자 1개| 양파 1개| 호박 1/2개| 국간장 1스푼| 고추가루 1스푼| 다진마늘 1/2티스푼| 소금 [수제비 반죽 재료] 밀가루 종이컵 2컵| 물 2/3컵| 소금 1/2스푼 [멸치다시마육수 재료] 멸치 1주먹| 다시마 2장| 물 1200ml,2인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/340/340_recipe_img.jpg
341,78,수제비,6859265,<삼시세끼 김치수제비> 종가집 포기김치로 끓인 얼큰 수제비,김치수제비,저녁에는 방송이 시작된 삼시세끼 다운 받아 보면서.. 에릭표 수제비를 보고 앗 급작스럽게 땡기더라구요 신랑님도 뜨끈한 국물이 생각이 난다며 말이죠 잘 익한 포기김치로 얼큰한 김치 수제비 만들었답니다  주말에 먹방 제대로 즐긴 저희 부부 먹방 과 맛난 레시피 구경하세요 ㅎ ,4955,[재료] 밀가루 300g| 송송썬김치 1+1/2컵| 자른다시마 1개| 물 1.5리터| 대파 약간 [양념] 참기름 1큰술| 된장 1작은술| 국간장 1작은술,2인분,중급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/341/341_recipe_img.jpg
342,78,수제비,6860947,쫄깃쫄깃한 감자수제비 간단하게 만들기 ♩,감자수제비,날씨가 너무 쌀쌀해지는 요즘  따뜻한 음식이 많이 생각나더라구요~ 맨날 맨날 무엇을 먹을까 고민하다가 간단히 만들어 먹을 수 있는 쫄깃한 수제비를 만들어 보았어요! 가게에서 사다가 수제비를 만들어 먹어 좋지만  저는 괜시리 집에서 직접 반죽하는 수제비가 더욱 쫄깃하면서  맛있더라구요~ 뭔가 두께도 내가 조절할 수 있고 숙성을 하면 할 수록 쫄깃해지는 수제비   거기에 집에 가득가득한 감자까지 넣어서 쫄깃한 감자수제비를 만들어 보았답니다♥ ,4740,[재료] 감자 2개| 애호박 1/4개| 양파 1/2개| 대파 1대| 국간장 1/2큰술| 다진마늘 1/2큰술| 소금 약간 [반죽] 밀가루 1컵| 소금 약간| 찬물 적당량 [멸치다시마육수] 국물용멸치 20마리 이상| 다시마(5cmx5cm) 2장| 물 7컵,2인분,아무나,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/342/342_recipe_img.jpg
343,79,쌀국수,1992134,매콤한 볶음쌀국수 팟타이,볶음쌀국수,태국에서는 자주  많이  흔히 먹는 볶음 쌀국수입니다. 이제 집에서도 간편하게 만들 수 있어요.,1036,[재료] 쌀국수 1줌| 파프리카 1/4개| 숙주 150g| 양파 1/4개| 마늘 2개| 새우 7마리| 양송이 2개| 계란 1개 [소스] 굴소스 1Ts| 스리차라소스 2Ts| 간장 1/2Ts| 설탕 1/2Ts| 피쉬소스 1/2Ts| 칠리소스 1Ts,1인분,중급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/343/343_recipe_img.jpg
344,79,쌀국수,6892011,이국적향가득 ♥ 볶음쌀국수,볶음쌀국수,이국적 향 가득~ 맛있는 볶음쌀국수로  올여름 집나간 입맛 찾기!  세상의 모든 레시피 만개의레시피 ,853,[필수재료] 쌀국수 2인분| 새우살 80g| 오징어살 1/2마리| 숙주 1줌| 홍고추 1개| 청고추 1개| 양파 1/6개| 대파 5cm| 쪽파 2뿌리| 다진마늘 1숟가락| 땅콩분태 2숟가락| 달걀 2개| 식용유 3숟가락 [소스재료] 간장 2숟가락| 굴소스 2숟가락| 액젓 2숟가락| 칠리소스 2숟가락| 설탕 2숟가락| 물 5숟가락,2인분,중급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/344/344_recipe_img.jpg
345,79,쌀국수,4574697,시래기 볶음쌀국수 만드는 법,시래기볶음쌀국수,쌀국수로 매운볶음쌀국수를 만들었어요. 맥주안주로도 한끼 식사로도 너무 좋아요.,824,[재료] 쌀국수 2인분| 참치 1캔(소)| 양파 1개| 배추(청경채) 1줌| 어묵 1줌| 마늘 1줌| 홍고추 1개| 청량고추 1개 [쌀국수볶음 양념 재료] 간장 3큰술(가감)| 후추 3톡| 맛술 1| 통깨 조금| 굴소스 1큰술 [고추기름 재료] 오일 3큰술| 고춧가루 2큰술,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/345/345_recipe_img.jpg
346,79,쌀국수,6862430,소고기 쌀국수 볶음,소고기쌀국수볶음,쌀국수는 충분히 불린 후 소고기는 밑간해 채소를 넣고 센불에 휘리릭 볶아먹는 소고기 쌀국수 볶음면은 숙주나물이 어우러져 아삭한 식감이 맛을 더 해주는듯해요~ 술안주로도 좋을것 같네요,804,[소고기 쌀국수 볶음면재료] 소고기(불고깃감) 100g| 쌀국수 50g| 숙주나물 1줌| 양파 1/2개| 파프리카(홍) 1/4개| 부추 대체 (쪽파) 약간| 깐마늘 3쪽| 대파 1토막| 통깨 약간| 참기름(기호) 약간| 식용유 약간 [양념재료] 간장 1T| 맛술 1T| 굴소스 1t| 다진마늘 1t [소고기 밑간] 고운소금 약간| 후춧가루 약간,1인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/346/346_recipe_img.jpg
347,79,쌀국수,4270183,볶음 쌀국수,볶음쌀국수,맛간장으로 맛을 낸 볶음쌀국수라 다른 양념재료도 거의 들어가지 않고  간단하게 만들수 있는 맛난 면 요리예요. 매운 고추를 넣어 볶아내니 그 칼칼한 맛에 자꾸만 손이 갑니다.,792,[재료] 쌀국수 150g| 새송이버섯 1개| 빨강 파프리카 1/4개| 초록 파프리카 1/4개| 노랑 파프리카 1/4개| 양파 1/2개| 마늘 4톨| 청양고추 1개| 쥐똥고추 6개| 포도씨유 적당량 [양념] 맛간장 3Ts| 물 2Ts| 참기름 1/3Ts| 발사믹식초 1/2Ts| 후춧가루 약간,2인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/347/347_recipe_img.jpg
348,80,열무김치국수,6872952,시원한 열무김치국수 / 열무김치국수 레시피   여름철 더위음식 #달래시피,열무김치국수,요즘에 날이 너~무 더워서 아무것도 하기싫더라구요.하하하 특히 밥 먹을거 생각하면 찌개류는 절대! 만들기 싫고..ㅠㅠ 너무 더워서 불앞에 있기도 싫어지는 날씨예요.  그래서 준비했습니다!! 바로 열무김치국수!  여름 하면 냉면이지! 라는 생각이 들지만. 마트에서 파는 인스턴트 냉면은 맛이 별로고  냉면을 먹으러 굳이 나갈걸 생각하니 더워서 나가기 싫으신 분들 많으시죠?ㅎㅎ  그래서 집에서도 간편하고 맛있게 먹을 수 있는 열무김치국수를 준비해봤어요.,647,[육수양념] 식초 3T| 매실액 4T| 설탕 1T| 국간장 1T| 깨소금 2T| 김치국물 700g [다시육수(멸치육수)] 무 1/4개| 멸치 3마리| 다시마 4개 [열무김치 양념] 고춧가루 1T| 설탕 1T| 식초 1T [부재료] 삶은계란 3개| 얼음 [면] 소면 450g,4인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/348/348_recipe_img.jpg
349,80,열무김치국수,6912063,열무 김치 국수 만드는 법 ,열무김치국수,한참 제철인 열무김치 담갔어요 그걸로 김치말이 국수 만들어 볼께요.,207,[재료] 냉면육수 1팩| 소면 2인분| 열무김치 100g| 열무김치국수국물 100ml| 오이 1/2개| 통깨 1꼬집| 설탕 1꼬집,2인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/349/349_recipe_img.jpg
350,80,열무김치국수,6854414,여름별미로 열무김치국수 만들기,열무김치국수,엊그제 동네 친구 빵순이네 놀러 갔다가 빵순이가 싸준 열무김치로 국수를 말아 먹었답니다~  시원한 열무김치가 어찌나 맛있던지... 대강 국수만 말아도 맛있네요^^ ,189,[재료] 열무김치| 소면| 매실액 1큰술| 설탕 1t| 식초 1t| 얼음,2인분,초급,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/350/350_recipe_img.jpg
351,80,열무김치국수,6917169,시원한 열무김치국수 만들기,열무김치국수,동네 친한언니가 열무김치를 나눠줬는데 너무 맛있어서 국수 해먹어야겠다 생각하고 시원한 열무김치 말이국수 해먹었어요,94,[재료] 열무김치 1+1/2줌| 물 1/2국자| 열무김치국물 1국자| 냉면 육수 1봉지반| 참기름 1큰술| 설탕 1/2큰술| 깨| 소면 2인분,2인분,아무나,15분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/351/351_recipe_img.jpg
352,80,열무김치국수,6928602,냉면육수 열무 김치국수 만드는법 여름철 별미 ,열무김치국수,시원하고 맛있는 열무김치 국수 만들어 볼께요.,34,[재료] 시판 냉면육수2인분| 열무김치 500g| 오이1/2개| 열무김치국물300ml| 통깨1t| 소면2인분,2인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/352/352_recipe_img.jpg
353,81,오일소스스파게티,6857119,봉골레 파스타 만들기 ★ 바지락 요리 ★ 담백한 오일파스타,봉골레오일파스타,이마트 구경갔는데 바지락이 아주 싱싱하더라구요. 명절날 한식 먹느라고 밥이 약간 질렸는데 싱싱한 바지락을 보니 딱 파스타가 떠올랐어요~! 오랜만에 봉골레 파스타 만들려고 바지락 구매완료. 집에 왠만한 재료들 다 있으니~ 바지락만 사면 되더라구요. 생각보다 간단한 봉골레 파스타 만들기. 저번에 제가 올린 알리오올리오 포스팅에서 응용하는거니깐 집에서 맛있게 만들어먹어요. ^ㅡ^,1146,[재료] 바지락| 마늘| 청양고추| 스파게티면| 올리브유| 바질가루| 소금| 화이트와인또는맛술,2인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/353/353_recipe_img.jpg
354,81,오일소스스파게티,6887806,가지 오일파스타-오일 스파게티,가지오일파스타,오일파스타 ,875,[재료] 스파게티 면 100g| 가지 1개| 다진 마늘 1스푼| 청양고추 2개 [양념] 올리브오일 6스푼| 맛술 2스푼| 파스타 삶은 물 1/2컵| 굴 소스 1스푼| 소금 적당량| 후춧가루 적당량,1인분,아무나,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/354/354_recipe_img.jpg
355,81,오일소스스파게티,4540036, 오일 파스타,오일파스타,풍성한 올리브 오일의 풍미와 향을 가득 느낄수 있는 파스타를 소개해드려요... 거기에 마늘과 고추의 맛까지 하나하나 다 느껴지는데  무척 단순해 보이는 스파게티지만  다른 파스타보다 재료의 맛을 잘 느낄수 있는 면요리지요.,588,[재료] 스파게티면 70g| 마늘 4쪽| 페페론치노 3~4개| 파슬리 가루| 파르메산치즈 적당량 [양념] 천일염 7g| 엑스트라버진 올리브오일 1+1/2Ts| 소금 약간,1인분,초급,30분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/355/355_recipe_img.jpg
356,81,오일소스스파게티,4581886,해물오일 파스타 만들기,해물오일파스타,해물이 가득 들어간 담백한 해물오일파스타입니다.,569,[재료] 통밀면 스파게티| 새우| 오징어| 모시조개| 양파| 양송이버섯| 토마토| 마늘| 마른고추 [양념] 소금| 올리브오일| 청주 2ts,2인분,중급,60분이내,https://hcmk-bucket.s3.ap-northeast-2.amazonaws.com/recipe_img/356/356_recipe_img.jpg
